transaction_id,account_number,amount,transaction_type,description,occurred_at,counterparty_account_number
97,110456789001,894866,TRANSFER,"월세 이체","2024-11-17T04:49:12.160Z",770123456789
98,110456789001,707697,TRANSFER,"가족 송금","2024-11-17T05:11:05.160Z",330111222333
99,941566778003,3185,PAYMENT,"공과금 납부","2024-11-17T07:34:02.160Z",
100,941566778003,9100,WITHDRAWAL,"경조사비","2024-11-17T07:54:48.160Z",
101,880334455004,450421,DEPOSIT,"월급 입금","2024-11-17T08:10:39.160Z",
102,880334455004,1879766,DEPOSIT,"배당금 입금","2024-11-17T08:27:32.160Z",
103,210123987002,416413,WITHDRAWAL,"교육비 출금","2024-11-17T08:28:09.160Z",
104,880334455004,2439725,DEPOSIT,"자금 이체","2024-11-17T09:17:39.160Z",
105,110456789001,2155861,DEPOSIT,"부업 수입","2024-11-17T10:32:27.160Z",
106,880334455004,254508,DEPOSIT,"자금 이체","2024-11-17T10:50:33.160Z",
107,110456789001,52431,WITHDRAWAL,"경조사비","2024-11-17T11:38:35.160Z",
108,210123987002,821597,TRANSFER,"월세 이체","2024-11-17T12:20:33.160Z",770123456789
109,210123987002,1344213,DEPOSIT,"부업 수입","2024-11-17T12:33:33.160Z",
110,110456789001,109418,PAYMENT,"보험료 납부","2024-11-17T12:34:21.160Z",
111,110456789001,1158535,DEPOSIT,"배당금 입금","2024-11-17T12:45:12.160Z",
112,880334455004,873213,DEPOSIT,"보너스 입금","2024-11-17T13:41:57.160Z",
113,880334455004,3012029,DEPOSIT,"월급 입금","2024-11-18T01:48:15.160Z",
114,880334455004,3133973,DEPOSIT,"월급 입금","2024-11-18T02:03:03.160Z",
115,210123987002,1862772,DEPOSIT,"배당금 입금","2024-11-18T02:22:57.160Z",
116,210123987002,797592,TRANSFER,"대출이자 납부","2024-11-18T02:53:44.160Z",330111222333
117,880334455004,3073423,DEPOSIT,"부업 수입","2024-11-18T04:14:58.160Z",
118,880334455004,2450157,DEPOSIT,"자금 이체","2024-11-18T04:21:45.160Z",
119,880334455004,561960,DEPOSIT,"배당금 입금","2024-11-18T04:23:55.160Z",
120,941566778003,6500,PAYMENT,"카드대금 결제","2024-11-18T05:01:47.160Z",
121,210123987002,2370309,DEPOSIT,"자금 이체","2024-11-18T05:23:46.160Z",
122,941566778003,13000,WITHDRAWAL,"의료비 출금","2024-11-18T05:33:43.160Z",
123,110456789001,1489562,DEPOSIT,"월급 입금","2024-11-18T06:47:00.160Z",
124,941566778003,13000,WITHDRAWAL,"ATM 출금","2024-11-18T06:52:03.160Z",
125,941566778003,6500,PAYMENT,"교통비 결제","2024-11-18T07:02:34.160Z",
126,210123987002,697034,TRANSFER,"대출이자 납부","2024-11-18T08:12:48.160Z",330111222333
127,210123987002,3060588,DEPOSIT,"자금 이체","2024-11-18T08:36:15.160Z",
128,210123987002,171918,TRANSFER,"적금 이체","2024-11-18T09:08:24.160Z",770123456789
129,210123987002,62432,WITHDRAWAL,"생활비 출금","2024-11-18T09:11:02.160Z",
130,941566778003,13000,WITHDRAWAL,"교육비 출금","2024-11-18T10:11:12.160Z",
131,941566778003,13000,WITHDRAWAL,"의료비 출금","2024-11-18T11:20:30.160Z",
132,880334455004,1430140,DEPOSIT,"배당금 입금","2024-11-18T12:14:07.160Z",
133,941566778003,6500,PAYMENT,"교통비 결제","2024-11-18T13:27:48.160Z",
134,210123987002,358634,WITHDRAWAL,"ATM 출금","2024-11-19T00:05:39.160Z",
135,210123987002,281463,WITHDRAWAL,"교육비 출금","2024-11-19T02:19:39.160Z",
136,941566778003,13000,WITHDRAWAL,"교육비 출금","2024-11-19T02:24:16.160Z",
137,210123987002,188977,DEPOSIT,"자금 이체","2024-11-19T03:47:02.160Z",
138,210123987002,139247,TRANSFER,"대출이자 납부","2024-11-19T04:22:03.160Z",770123456789
139,941566778003,13000,WITHDRAWAL,"생활비 출금","2024-11-19T06:58:08.160Z",
140,110456789001,566996,TRANSFER,"가족 송금","2024-11-19T08:27:09.160Z",770123456789
141,210123987002,156970,TRANSFER,"대출이자 납부","2024-11-19T08:53:40.160Z",770123456789
142,880334455004,1840641,DEPOSIT,"자금 이체","2024-11-19T09:12:03.160Z",
143,210123987002,3149547,DEPOSIT,"배당금 입금","2024-11-19T11:01:00.160Z",
144,941566778003,6500,PAYMENT,"공과금 납부","2024-11-19T11:44:31.160Z",
145,880334455004,3250668,DEPOSIT,"월급 입금","2024-11-19T13:07:22.160Z",
146,110456789001,327335,PAYMENT,"온라인 쇼핑","2024-11-19T13:07:25.160Z",
147,110456789001,287933,PAYMENT,"공과금 납부","2024-11-19T13:25:41.160Z",
148,210123987002,695368,TRANSFER,"적금 이체","2024-11-20T00:24:31.160Z",660555444333
149,941566778003,7150,PAYMENT,"통신요금 납부","2024-11-20T00:25:27.160Z",
150,941566778003,7150,PAYMENT,"공과금 납부","2024-11-20T00:32:46.160Z",
151,880334455004,2209585,DEPOSIT,"월급 입금","2024-11-20T00:38:19.160Z",
152,880334455004,3231565,DEPOSIT,"보너스 입금","2024-11-20T01:14:19.160Z",
153,880334455004,379868,DEPOSIT,"부업 수입","2024-11-20T02:19:22.160Z",
154,941566778003,14300,WITHDRAWAL,"경조사비","2024-11-20T02:51:23.160Z",
155,941566778003,7150,PAYMENT,"공과금 납부","2024-11-20T03:50:02.160Z",
156,941566778003,14300,WITHDRAWAL,"생활비 출금","2024-11-20T04:15:18.160Z",
157,110456789001,864682,TRANSFER,"친구에게 송금","2024-11-20T04:53:27.160Z",770123456789
158,880334455004,2583320,DEPOSIT,"월급 입금","2024-11-20T05:46:07.160Z",
159,110456789001,121967,WITHDRAWAL,"교육비 출금","2024-11-20T05:53:48.160Z",
160,941566778003,7150,PAYMENT,"온라인 쇼핑","2024-11-20T06:48:37.160Z",
161,210123987002,201772,TRANSFER,"대출이자 납부","2024-11-20T07:00:23.160Z",330111222333
162,941566778003,14300,WITHDRAWAL,"교육비 출금","2024-11-20T09:10:44.160Z",
163,110456789001,961627,TRANSFER,"대출이자 납부","2024-11-20T09:45:07.160Z",550987654321
164,941566778003,7150,PAYMENT,"카드대금 결제","2024-11-20T10:33:28.160Z",
165,110456789001,136639,PAYMENT,"교통비 결제","2024-11-20T12:09:18.160Z",
166,880334455004,2808312,DEPOSIT,"배당금 입금","2024-11-20T12:16:36.160Z",
167,210123987002,83519,WITHDRAWAL,"ATM 출금","2024-11-20T12:35:22.160Z",
168,880334455004,664375,DEPOSIT,"월급 입금","2024-11-21T00:18:05.160Z",
169,110456789001,1819308,DEPOSIT,"배당금 입금","2024-11-21T00:22:34.160Z",
170,941566778003,7800,PAYMENT,"보험료 납부","2024-11-21T00:25:35.160Z",
171,110456789001,155625,PAYMENT,"식비 결제","2024-11-21T01:36:55.160Z",
172,941566778003,7800,PAYMENT,"카드대금 결제","2024-11-21T02:17:40.160Z",
173,941566778003,15600,WITHDRAWAL,"ATM 출금","2024-11-21T02:30:08.160Z",
174,880334455004,690239,DEPOSIT,"자금 이체","2024-11-21T03:03:03.160Z",
175,110456789001,670930,WITHDRAWAL,"생활비 출금","2024-11-21T04:05:47.160Z",
176,210123987002,778982,TRANSFER,"대출이자 납부","2024-11-21T04:24:56.160Z",550987654321
177,941566778003,15600,WITHDRAWAL,"의료비 출금","2024-11-21T06:08:53.160Z",
178,210123987002,1025651,TRANSFER,"대출이자 납부","2024-11-21T06:14:36.160Z",770123456789
179,880334455004,3861894,DEPOSIT,"배당금 입금","2024-11-21T07:19:39.160Z",
180,110456789001,444624,WITHDRAWAL,"ATM 출금","2024-11-21T07:49:53.160Z",
181,941566778003,7800,PAYMENT,"카드대금 결제","2024-11-21T07:52:12.160Z",
182,110456789001,169793,TRANSFER,"친구에게 송금","2024-11-21T08:06:34.160Z",770123456789
183,880334455004,1122884,DEPOSIT,"배당금 입금","2024-11-21T08:38:25.160Z",
184,941566778003,7800,PAYMENT,"온라인 쇼핑","2024-11-21T08:46:46.160Z",
185,110456789001,433099,WITHDRAWAL,"경조사비","2024-11-21T09:20:53.160Z",
186,110456789001,794602,TRANSFER,"월세 이체","2024-11-21T10:04:08.160Z",550987654321
187,210123987002,109189,WITHDRAWAL,"의료비 출금","2024-11-21T11:25:43.160Z",
188,210123987002,755372,TRANSFER,"적금 이체","2024-11-21T11:26:11.160Z",660555444333
189,210123987002,2291079,DEPOSIT,"부업 수입","2024-11-21T12:32:42.160Z",
190,941566778003,7800,PAYMENT,"교통비 결제","2024-11-21T13:20:01.160Z",
191,941566778003,15600,WITHDRAWAL,"교육비 출금","2024-11-21T13:54:51.160Z",
192,880334455004,1823148,DEPOSIT,"배당금 입금","2024-11-21T13:56:52.160Z",
193,210123987002,885133,TRANSFER,"월세 이체","2024-11-22T00:25:28.160Z",550987654321
194,941566778003,16900,WITHDRAWAL,"의료비 출금","2024-11-22T02:17:35.160Z",
195,110456789001,269487,PAYMENT,"공과금 납부","2024-11-22T02:33:22.160Z",
196,110456789001,424982,WITHDRAWAL,"경조사비","2024-11-22T03:23:24.160Z",
197,110456789001,1448669,TRANSFER,"적금 이체","2024-11-22T03:45:26.160Z",770123456789
198,880334455004,4928028,DEPOSIT,"자금 이체","2024-11-22T04:53:18.160Z",
199,880334455004,998834,DEPOSIT,"자금 이체","2024-11-22T06:14:57.160Z",
200,941566778003,8450,PAYMENT,"카드대금 결제","2024-11-22T06:29:47.160Z",
201,210123987002,387737,TRANSFER,"친구에게 송금","2024-11-22T06:40:42.160Z",330111222333
202,941566778003,8450,PAYMENT,"교통비 결제","2024-11-22T06:57:06.160Z",
203,110456789001,751229,WITHDRAWAL,"의료비 출금","2024-11-22T08:14:27.160Z",
204,210123987002,1560783,DEPOSIT,"월급 입금","2024-11-22T08:47:12.160Z",
205,110456789001,285635,WITHDRAWAL,"ATM 출금","2024-11-22T09:22:48.160Z",
206,110456789001,2272815,DEPOSIT,"부업 수입","2024-11-22T09:40:22.160Z",
207,941566778003,8450,PAYMENT,"통신요금 납부","2024-11-22T09:48:06.160Z",
208,210123987002,1263361,DEPOSIT,"월급 입금","2024-11-22T10:04:07.160Z",
209,210123987002,132229,WITHDRAWAL,"생활비 출금","2024-11-22T10:15:27.160Z",
210,941566778003,16900,WITHDRAWAL,"의료비 출금","2024-11-22T13:24:39.160Z",
211,941566778003,16900,WITHDRAWAL,"ATM 출금","2024-11-22T13:44:38.160Z",
212,880334455004,3506369,DEPOSIT,"월급 입금","2024-11-23T00:01:55.160Z",
213,110456789001,662636,WITHDRAWAL,"교육비 출금","2024-11-23T01:11:04.160Z",
214,210123987002,1198226,DEPOSIT,"보너스 입금","2024-11-23T01:36:26.160Z",
215,210123987002,1132098,DEPOSIT,"배당금 입금","2024-11-23T04:07:04.160Z",
216,941566778003,5005,PAYMENT,"공과금 납부","2024-11-23T04:45:54.160Z",
217,110456789001,2006321,DEPOSIT,"부업 수입","2024-11-23T04:50:27.160Z",
218,880334455004,4142500,DEPOSIT,"부업 수입","2024-11-23T05:47:35.160Z",
219,110456789001,451549,DEPOSIT,"보너스 입금","2024-11-23T06:52:59.160Z",
220,110456789001,63810,PAYMENT,"온라인 쇼핑","2024-11-23T08:03:42.160Z",
221,941566778003,14300,WITHDRAWAL,"교육비 출금","2024-11-23T08:59:53.160Z",
222,880334455004,1295042,DEPOSIT,"월급 입금","2024-11-23T09:54:07.160Z",
223,880334455004,3634587,DEPOSIT,"부업 수입","2024-11-23T10:40:16.160Z",
224,880334455004,3555886,DEPOSIT,"보너스 입금","2024-11-23T11:21:28.160Z",
225,941566778003,5005,PAYMENT,"교통비 결제","2024-11-23T11:31:42.160Z",
226,110456789001,191266,PAYMENT,"통신요금 납부","2024-11-23T11:58:01.160Z",
227,110456789001,1367565,DEPOSIT,"자금 이체","2024-11-23T11:58:13.160Z",
228,110456789001,675834,WITHDRAWAL,"교육비 출금","2024-11-23T12:05:58.160Z",
229,110456789001,3326171,DEPOSIT,"보너스 입금","2024-11-23T12:09:43.160Z",
230,880334455004,4127390,DEPOSIT,"배당금 입금","2024-11-23T12:34:00.160Z",
231,110456789001,493650,WITHDRAWAL,"의료비 출금","2024-11-23T13:07:29.160Z",
232,880334455004,2295416,DEPOSIT,"부업 수입","2024-11-23T13:12:10.160Z",
233,880334455004,2224504,DEPOSIT,"부업 수입","2024-11-23T13:36:39.160Z",
234,210123987002,71175,WITHDRAWAL,"의료비 출금","2024-11-23T13:44:57.160Z",
235,110456789001,622635,TRANSFER,"적금 이체","2024-11-23T13:48:45.160Z",770123456789
236,110456789001,375673,TRANSFER,"적금 이체","2024-11-23T13:52:00.160Z",660555444333
237,880334455004,215179,DEPOSIT,"부업 수입","2024-11-24T00:36:02.160Z",
238,941566778003,3185,PAYMENT,"공과금 납부","2024-11-24T00:37:18.160Z",
239,880334455004,2708941,DEPOSIT,"자금 이체","2024-11-24T00:40:42.160Z",
240,880334455004,1042774,DEPOSIT,"부업 수입","2024-11-24T01:21:13.160Z",
241,880334455004,2140331,DEPOSIT,"배당금 입금","2024-11-24T01:32:06.160Z",
242,110456789001,1953618,DEPOSIT,"배당금 입금","2024-11-24T02:03:33.160Z",
243,210123987002,243819,TRANSFER,"친구에게 송금","2024-11-24T02:19:21.160Z",330111222333
244,210123987002,72585,WITHDRAWAL,"교육비 출금","2024-11-24T03:13:07.160Z",
245,880334455004,2291523,DEPOSIT,"자금 이체","2024-11-24T03:39:43.160Z",
246,110456789001,2664427,DEPOSIT,"자금 이체","2024-11-24T04:28:59.160Z",
247,210123987002,85896,TRANSFER,"적금 이체","2024-11-24T04:52:40.160Z",660555444333
248,210123987002,811211,TRANSFER,"적금 이체","2024-11-24T04:55:41.160Z",660555444333
249,941566778003,9100,WITHDRAWAL,"생활비 출금","2024-11-24T04:59:59.160Z",
250,210123987002,1647509,DEPOSIT,"보너스 입금","2024-11-24T07:01:54.160Z",
251,941566778003,9100,WITHDRAWAL,"교육비 출금","2024-11-24T07:12:05.160Z",
252,941566778003,9100,WITHDRAWAL,"의료비 출금","2024-11-24T07:18:10.160Z",
253,941566778003,9100,WITHDRAWAL,"생활비 출금","2024-11-24T07:24:45.160Z",
254,880334455004,2506565,DEPOSIT,"부업 수입","2024-11-24T07:37:01.160Z",
255,110456789001,423161,WITHDRAWAL,"경조사비","2024-11-24T08:50:31.160Z",
256,880334455004,452036,DEPOSIT,"보너스 입금","2024-11-24T09:01:13.160Z",
257,110456789001,297140,DEPOSIT,"보너스 입금","2024-11-24T09:17:32.160Z",
258,110456789001,465059,TRANSFER,"월세 이체","2024-11-24T09:21:41.160Z",770123456789
259,210123987002,418079,DEPOSIT,"월급 입금","2024-11-24T09:26:21.160Z",
260,941566778003,9100,WITHDRAWAL,"의료비 출금","2024-11-24T10:33:48.160Z",
261,110456789001,292266,TRANSFER,"월세 이체","2024-11-24T11:29:34.160Z",550987654321
262,880334455004,155857,DEPOSIT,"보너스 입금","2024-11-24T12:20:48.160Z",
263,941566778003,3185,PAYMENT,"통신요금 납부","2024-11-24T13:13:47.160Z",
264,210123987002,753333,DEPOSIT,"자금 이체","2024-11-24T13:16:57.160Z",
265,880334455004,433908,DEPOSIT,"자금 이체","2024-11-24T13:33:42.160Z",
266,110456789001,177526,TRANSFER,"친구에게 송금","2024-11-24T13:34:20.160Z",550987654321
267,210123987002,462452,TRANSFER,"가족 송금","2024-11-24T13:40:08.160Z",550987654321
268,210123987002,3541992,DEPOSIT,"월급 입금","2024-11-25T00:46:11.160Z",
269,941566778003,6500,PAYMENT,"보험료 납부","2024-11-25T01:03:23.160Z",
270,110456789001,3775575,DEPOSIT,"자금 이체","2024-11-25T03:17:11.160Z",
271,880334455004,3859198,DEPOSIT,"자금 이체","2024-11-25T05:31:52.160Z",
272,210123987002,43229,WITHDRAWAL,"의료비 출금","2024-11-25T06:22:53.160Z",
273,210123987002,3446799,DEPOSIT,"보너스 입금","2024-11-25T06:52:38.160Z",
274,210123987002,516359,WITHDRAWAL,"교육비 출금","2024-11-25T07:45:39.160Z",
275,880334455004,1322837,DEPOSIT,"자금 이체","2024-11-25T09:44:44.160Z",
276,210123987002,147553,WITHDRAWAL,"의료비 출금","2024-11-25T10:13:38.160Z",
277,941566778003,13000,WITHDRAWAL,"생활비 출금","2024-11-25T10:23:24.160Z",
278,110456789001,159740,PAYMENT,"교통비 결제","2024-11-25T10:44:08.160Z",
279,941566778003,6500,PAYMENT,"교통비 결제","2024-11-25T11:15:38.160Z",
280,880334455004,3315778,DEPOSIT,"배당금 입금","2024-11-25T11:30:59.160Z",
281,941566778003,13000,WITHDRAWAL,"교육비 출금","2024-11-25T12:35:03.160Z",
282,110456789001,6618,PAYMENT,"통신요금 납부","2024-11-25T13:11:01.160Z",
283,880334455004,406895,DEPOSIT,"자금 이체","2024-11-25T13:35:48.160Z",
284,880334455004,198907,DEPOSIT,"자금 이체","2024-11-26T00:46:22.160Z",
285,941566778003,6500,PAYMENT,"보험료 납부","2024-11-26T01:34:24.160Z",
286,880334455004,516209,DEPOSIT,"월급 입금","2024-11-26T01:46:37.160Z",
287,941566778003,13000,WITHDRAWAL,"의료비 출금","2024-11-26T02:19:23.160Z",
288,880334455004,1098598,DEPOSIT,"배당금 입금","2024-11-26T02:24:39.160Z",
289,110456789001,3431456,DEPOSIT,"월급 입금","2024-11-26T02:35:26.160Z",
290,941566778003,6500,PAYMENT,"온라인 쇼핑","2024-11-26T04:44:23.160Z",
291,941566778003,13000,WITHDRAWAL,"경조사비","2024-11-26T05:49:40.160Z",
292,210123987002,307899,WITHDRAWAL,"경조사비","2024-11-26T05:54:18.160Z",
293,210123987002,47413,TRANSFER,"가족 송금","2024-11-26T06:29:29.160Z",770123456789
294,880334455004,3586880,DEPOSIT,"배당금 입금","2024-11-26T08:09:24.160Z",
295,880334455004,1487831,DEPOSIT,"월급 입금","2024-11-26T08:23:35.160Z",
296,110456789001,323397,PAYMENT,"식비 결제","2024-11-26T08:23:44.160Z",
297,941566778003,13000,WITHDRAWAL,"의료비 출금","2024-11-26T08:42:34.160Z",
298,941566778003,13000,WITHDRAWAL,"의료비 출금","2024-11-26T08:42:35.160Z",
299,210123987002,650784,TRANSFER,"적금 이체","2024-11-26T08:47:29.160Z",770123456789
300,941566778003,13000,WITHDRAWAL,"ATM 출금","2024-11-26T09:22:34.160Z",
301,210123987002,1448928,DEPOSIT,"배당금 입금","2024-11-26T09:59:42.160Z",
302,210123987002,1787265,DEPOSIT,"배당금 입금","2024-11-26T11:00:26.160Z",
303,210123987002,1278650,TRANSFER,"가족 송금","2024-11-26T12:03:23.160Z",660555444333
304,880334455004,188560,DEPOSIT,"부업 수입","2024-11-26T12:29:56.160Z",
305,210123987002,1365552,DEPOSIT,"월급 입금","2024-11-26T12:39:36.160Z",
306,110456789001,25557,PAYMENT,"보험료 납부","2024-11-26T12:49:41.160Z",
307,941566778003,6500,PAYMENT,"교통비 결제","2024-11-26T12:51:15.160Z",
308,941566778003,6500,PAYMENT,"통신요금 납부","2024-11-26T12:59:38.160Z",
309,110456789001,958862,DEPOSIT,"월급 입금","2024-11-26T13:03:32.160Z",
